Price,District,YearOfConstruction,Area,Type,Link
от46968,Алматы,39.14,2024,"
                    Коммерческая недвижимость
                ",/a/show/696537397
от42619,Алматы,94.71,2023,"
                    Коммерческая недвижимость
                ",/a/show/688650513
35000000,Ауэзовский,2017,30,"
                    Магазины и бутики ",/a/show/692486047
69500000,Алмалинский,1976,55,"
                    Офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование ",/a/show/698722646
77000000,Медеуский,2022,114.8,"
                    Свободное назначение ",/a/show/682552672
48900000,Наурызбайский,2020,90,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки ",/a/show/699095204
1200000000,Алмалинский,2003,216.5,"
                    Азс, автосервисы и автомойки ",/a/show/697944703
1250000000,Бостандыкский,2010,617,"
                    Магазины и бутики, азс, автосервисы и автомойки ",/a/show/695768388
1200000000,Алмалинский,2003,216.5,"
                    Магазины и бутики, азс, автосервисы и автомойки ",/a/show/695167435
82000000,Алмалинский,1982,63,"
                    Свободное назначение ",/a/show/699102802
90630000,Ауэзовский,2019,239,"
                    Свободное назначение, офисы ",/a/show/697964540
1500000000,Ауэзовский,2007,2556,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/697139408
149999999,Бостандыкский,1987,288,"
                    Офисы ",/a/show/689282954
945804000,Ауэзовский,2025,788.17,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698976920
32000000,Бостандыкский,2015,26,"
                    Офисы ",/a/show/676452467
360000000,Ауэзовский,отдельностоящее здание,2025,"
                    Свободное назначение ",/a/show/698957677
410531000,Ауэзовский,2025,373.21,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698977707
75000000,Бостандыкский,2018,209.5,"
                    Образование, развлечения ",/a/show/692705583
1549000000,Алмалинский,2004,2200,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699193776
от56862,Алматы,126.36,2023,"
                    Коммерческая недвижимость
                ",/a/show/688650515
210000000,Бостандыкский,2007,180,"
                    Офисы ",/a/show/697094789
5000000,Наурызбайский,2010,6,"
                    Склады ",/a/show/699164493
2200000000,Ауэзовский,2018,1250,"
                    Свободное назначение ",/a/show/693689678
195000000,Турксибский,2006,370,"
                    Офисы, магазины и бутики, склады, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/697295441
655000000,Бостандыкский,2000,1500,"
                    Общепит ",/a/show/690358483
303000000,Бостандыкский,1975,417.8,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/692658620
139000000,Медеуский,в жилом доме или ЖК,85,"
                    Свободное назначение ",/a/show/698607043
280000000,Бостандыкский,2021,170,"
                    Свободное назначение ",/a/show/696110343
556495000,Алмалинский,2022,654.7,"
                    Свободное назначение, офисы ",/a/show/695592986
215000000,Медеуский,1992,150,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698908716
180000000,Бостандыкский,2004,207,"
                    Офисы, магазины и бутики, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/696179023
218000000,Алмалинский,1939,219,"
                    Свободное назначение ",/a/show/692917997
75000000,Алмалинский,2014,104,"
                    Офисы ",/a/show/698594417
280000000,Турксибский,2,589.9,"
                    Свободное назначение, офисы, склады, азс, автосервисы и автомойки ",/a/show/698578394
36000000,Жетысуский,2013,45,"
                    Свободное назначение ",/a/show/679854914
1200000000,Алмалинский,2024,1050,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/697138875
249000000,Бостандыкский,2007,650,"
                    Свободное назначение ",/a/show/684019680
45000000,Медеуский,2010,250,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование ",/a/show/697620209
1400000000,Бостандыкский,1,700,"
                    Магазины и бутики ",/a/show/697800452
45000000,Алатауский,2007,150,"
                    Свободное назначение, офисы, склады, азс, автосервисы и автомойки ",/a/show/691343511
от53760,Алматы,44.8,2024,"
                    Коммерческая недвижимость
                ",/a/show/696537746
от64764,Алматы,143.92,2023,"
                    Коммерческая недвижимость
                ",/a/show/688650516
84000000,Бостандыкский,2008,66,"
                    Салоны красоты ",/a/show/697828795
990000000,Алатауский,2012,1545,"
                    Офисы, магазины и бутики, общепит, бани, гостиницы и зоны отдыха, развлечения ",/a/show/695125604
119000000,Алматы,2018,620,"
                    Свободное назначение ",/a/show/693953340
60000000,Жетысуский,2023,45,"
                    Магазины и бутики ",/a/show/698498130
260000000,Бостандыкский,2023,260.49,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты ",/a/show/681946412
95000000,Бостандыкский,2023,110,"
                    Свободное назначение ",/a/show/698371675
380000000,Бостандыкский,2000,670,"
                    Свободное назначение, офисы, общепит, салоны красоты, бани, гостиницы и зоны отдыха, образование, развлечения ",/a/show/695425313
220000000,Бостандыкский,2024,115,"
                    Свободное назначение ",/a/show/696395518
21000000,Алмалинский,2012,72,"
                    Свободное назначение ",/a/show/698863756
400000000,Бостандыкский,2000,670,"
                    Офисы ",/a/show/690880094
77000000,Алмалинский,1970,154,"
                    Бани, гостиницы и зоны отдыха ",/a/show/696777548
169000000,Бостандыкский,2021,130,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/694009774
15500000,Бостандыкский,2014,22.1,"
                    Офисы ",/a/show/696156065
3500000000,Бостандыкский,1972,3368.9,"
                    Свободное назначение, офисы, медцентры и аптеки, образование ",/a/show/697170032
3800000000,Бостандыкский,1990,11399.9,"
                    Свободное назначение ",/a/show/691293715
432900000,Алмалинский,в жилом доме или ЖК,225.1,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/693598585
165000000,Алматы,2001,218.4,"
                    Свободное назначение, офисы, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/684920352
от32400,Алматы,72,2023,"
                    Коммерческая недвижимость
                ",/a/show/688650517
23000000,Бостандыкский,в бизнес-центре,20,"
                    Офисы ",/a/show/698598700
775000000,Алмалинский,в жилом доме или ЖК,180,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты ",/a/show/698089329
1099999999,Алмалинский,отдельностоящее здание,1250,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, образование, развлечения ",/a/show/699102040
65000000,Ауэзовский,1990,90.3,"
                    Офисы, магазины и бутики, салоны красоты ",/a/show/697364989
150000000,Медеуский,2007,310.3,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/693344786
45000000,Медеуский,2022,480,"
                    Свободное назначение ",/a/show/697961979
648150000,Медеуский,1995,166.2,"
                    Свободное назначение, офисы, салоны красоты ",/a/show/688290071
80500000,Наурызбайский,отдельностоящее здание,208,"
                    Свободное назначение ",/a/show/685866649
78500000,Алатауский,да,209,"
                    Свободное назначение ",/a/show/676653832
816000000,Бостандыкский,2010,1190,"
                    Свободное назначение ",/a/show/668272930
3000000,Медеуский,2023,45,"
                    Магазины и бутики ",/a/show/694447726
350000000,Алмалинский,2009,430,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/694080332
80000000,Бостандыкский,2006,94,"
                    Бани, гостиницы и зоны отдыха ",/a/show/698984126
89000000,Алатауский,2016,90,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты ",/a/show/681607494
66500000,Медеуский,2009,85,"
                    Магазины и бутики ",/a/show/691739803
135000000,Медеуский,1918,159,"
                    Свободное назначение ",/a/show/683036186
12000000,Турксибский,да,75,"
                    Общепит ",/a/show/688018167
125000000,Жетысуский,2015,126,"
                    Азс, автосервисы и автомойки ",/a/show/689741751
450000000,Алмалинский,2008,771,"
                    Азс, автосервисы и автомойки, бани, гостиницы и зоны отдыха, развлечения ",/a/show/691830205
75000000,Алмалинский,2021,93.3,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, образование ",/a/show/687999503
13500000,Алатауский,2023,49,"
                    Свободное назначение ",/a/show/694605731
270000000,Алатауский,2007,739,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/691470418
120000000,Жетысуский,2021,100,"
                    Свободное назначение ",/a/show/698087989
705000000,Наурызбайский,2022,970,"
                    Образование ",/a/show/698591058
40000000,Медеуский,2019,123.9,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование, развлечения ",/a/show/695885939
25800000,Алмалинский,2023,21,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование ",/a/show/698596700
67000000,Наурызбайский,2024,100,"
                    Свободное назначение, магазины и бутики, салоны красоты, образование ",/a/show/695580649
20250000,Бостандыкский,2016,28,"
                    Свободное назначение, офисы, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699099575
150000000,Бостандыкский,2015,150,"
                    Свободное назначение ",/a/show/682872739
1065576000,Медеуский,2,752.2,"
                    Свободное назначение ",/a/show/680708133
110000000,Наурызбайский,2024,308.18,"
                    Свободное назначение ",/a/show/677972657
15600000,Бостандыкский,2013,26.2,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты ",/a/show/699156279
