Price,NumberOfRooms,District,YearOfConstruction,Floor,Area,Link
15000000,"
                    1",Жетысуский,1976,2,30.7,/a/show/698323887
69000000,"
                    5",Наурызбайский,2008,4,150,/a/show/696236386
70000000,"
                    3",Бостандыкский,2015,12,111.5,/a/show/692913945
71000000,"
                    4",Алатауский,2024,11,118,/a/show/699050320
34400000,"
                    2",Наурызбайский,2021,15,59.4,/a/show/697798369
25000000,"
                    1",Жетысуский,2024,13,40,/a/show/692752431
47000000,"
                    3",Ауэзовский,1996,1,74,/a/show/682858956
32500000,"
                    3",Ауэзовский,1974,4,60,/a/show/679452617
85500000,"
                    2",Бостандыкский,2021,5,70,/a/show/698934321
от60904000,"
                    2",Ауэзовский,2024,76.13,2,/a/show/677521644
от189234000,"
                    3",Медеуский,2026,105.13,2,/a/show/697299940
от15652000,"
                    1",Алматинская,2024,36.4,совмещенный,/a/show/696340597
от47499978,"
                    4",Алматинская,2024,106,2,/a/show/694493587
48500000,"
                    3",Алатауский,2019,10,73,/a/show/688499379
37500000,"
                    2",Бостандыкский,2024,14,55,/a/show/696649805
83000000,"
                    3",Бостандыкский,2023,12,105,/a/show/695555064
26500000,"
                    1",Жетысуский,1989,1,45.3,/a/show/695407967
23500000,"
                    1",Алатауский,2016,1,36,/a/show/692952727
от28585000,"
                    2",Алатауский,2025,57.17,совмещенный,/a/show/693826794
от17372000,"
                    1",Алматинская,2024,40.4,совмещенный,/a/show/696340596
35000000,"
                    2",Ауэзовский,1964,1,63,/a/show/698647859
34800000,"
                    2",Алатауский,2024,4,54.41,/a/show/698240205
36800000,"
                    2",Алатауский,2024,11,52,/a/show/698014505
37000000,"
                    2",Алмалинский,1980,3,45,/a/show/696660765
210000000,"
                    4",Бостандыкский,2021,2,150.1,/a/show/695296092
54000000,"
                    3",Бостандыкский,1991,1,70.2,/a/show/695216684
55000000,"
                    4",Жетысуский,2018,5,87,/a/show/694848967
52999000,"
                    2",Медеуский,2018,2,47,/a/show/693421546
от70533420,"
                    2",Бостандыкский,2025,76.17,2,/a/show/694723350
34000000,"
                    3",Медеуский,2024,5,54,/a/show/699215040
от195100000,"
                    4",Медеуский,2023,138.49,2,/a/show/667124453
от35645900,"
                    1",Бостандыкский,2025,48.83,совмещенный,/a/show/697710425
от30867200,"
                    2",Алатауский,2025,59.36,совмещенный,/a/show/695180121
от156858000,"
                    2",Бостандыкский,44,2024,80.44,/a/show/694787127
35500000,"
                    3",Наурызбайский,2022,8,80,/a/show/699215033
42000000,"
                    3",Алатауский,2015,6,83,/a/show/699083559
48000000,"
                    3",Наурызбайский,2020,10,84,/a/show/696185291
52000000,"
                    3",Жетысуский,2006,5,93,/a/show/695504426
18000000,"
                    2",Жетысуский,1975,1,48,/a/show/694032142
